SAP,BFM,DESCRIPTION,TOOL ID,LOCATION,PRIORITY,PM QTY,REVIEWED,Time of Completion
96007271,20243275,RH AFT TRIFORM,C01603003-002-DJIG32,BASEMENT,3,3,Review by Aug.,
96007274,20243278,CUFF FAIRING DRILL JIG (1 of 2) & (2 of 2),C01361620-DJIG03,"US-LCS010/020, INSIDE DJIG01 KIT",3,3,,
96007275,20243279,TENSION FITTING DRILL JIGS,KCS128005,LCS001,3,3,,
96007277,20243281,LH AFT CORNER FITTING DRILL JIG,C01603001-001-DJIG42,US-LCS002-MEC,3,3,,
96007278,20243282,RH FWD CORNER ANGLE,C01603001-002-DJIG40,BASEMENT,3,3,,
96007279,20243283,RH AFT CORNER FITTING DRILL JIG,C01603001-002-DJIG42,US-LCS002-MEC,3,3,,
96007280,20243284,LH FWD CRUCIFORM DRILL JIG,C01603002-001-DJIG10,BASEMENT,3,3,,
96007281,20243285,LH MID CRUCIFORM DRILL JIG,C01603002-001-DJIG11,BASEMENT,3,3,,
96007282,20243286,LH AFT CRUCIFORM DRILL JIG,C01603002-001-DJIG12,BASEMENT,3,3,,
96007283,20243287,RH FWD CRUCIFORM,C01603002-002-DJIG10,BASEMENT,3,3,,
96007284,20243288,RH MID CRUCIFORM,C01603002-002-DJIG11,BASEMENT,3,3,,
96007285,20243289,RH AFT CRUCIFORM,C01603002-002-DJIG12,BASEMENT,3,3,,
96007286,20243290,LH FWD TRIFORM,C01603003-001-DJIG30,BASEMENT,3,3,,
96007287,20243291,LH CTR TRIFORM,C01603003-001-DJIG31,BASEMENT,3,3,,
96007288,20243292,LH AFT TRIFORM,C01603003-001-DJIG32,BASEMENT,3,3,,
96007289,20243293,RH FWD TRIFORM,C01603003-002-DJIG30,BASEMENT,3,3,,
96007290,20243294,RH CTR TRIFORM,C01603003-002-DJIG31,BASEMENT,3,3,,
96007291,20243295,FRONT SPAR DRILL JIG LH,C01603005-001-DJIG01,BASEMENT,3,3,,
96007292,20243296,FRONT SPAR DRILL JIG RH,C01603005-002-DJIG01,BASEMENT,3,3,,
96007293,20243297,LH AFT SPAR,C01603006-001-DJIG20,US-LCS002-MEC,3,1,,
96011224,20319262,RH AFT SPAR,C01603006-002-DJIG20,US-LCS002-MEC,3,1,,
96007295,20243299,CS300 FWD SPAR,C01663001-001-DJIG01,LCS002,3,1,,
96007296,20243300,CS300 WING JOINING DRILL JIG,C01663001-001-DJIG10,LCS002 TOP,3,1,,
96007297,20243301,CS300 WING JOINING DRILL JIG,C01663001-001-DJIG11,LCS002 TOP,3,1,,
96007298,20243302,CS300 WING JOINING DRILL JIG,C01663001-001-DJIG12,LCS002 TOP,3,1,,
96007299,20243303,CS300 AFT SPAR,C01663001-001-DJIG20,LCS002,3,1,,
96007300,20243304,CS300 FWD TRIFORM,C01663001-001-DJIG30,LCS002,3,3,,
96007301,20243305,CS300 CTR TRIFORM,C01663001-001-DJIG31,LCS002,3,3,,
96007302,20243306,CS300 AFT TRIFORM,C01663001-001-DJIG32,LCS002,3,3,,
96007304,20243308,LH CS300 AFT CORNER FTG  LOC & DRILL JIG,C01663001-001-DJIG42,US-LCS002-MEC,3,1,,
96007305,20243309,CS300 FWD SPAR,C01663001-002-DJIG01,LCS002,3,1,,
96007306,20243310,CS300 WING JOINING DRILL JIG,C01663001-002-DJIG10,LCS002 TOP,3,1,,
96007307,20243311,CS300 WING JOINING DRILL JIG,C01663001-002-DJIG11,LCS002 TOP,3,1,,
96007308,20243312,CS300 WING JOINING DRILL JIG,C01663001-002-DJIG12,LCS002 TOP,3,1,,
96007309,20243313,CS300 AFT SPAR,C01663001-002-DJIG20,LCS002,3,1,,
96007310,20243314,CS300 FWD TRIFORM,C01663001-002-DJIG30,LCS002,3,3,,
96007311,20243315,CS300 CTR TRIFORM,C01663001-002-DJIG31,LCS002,3,3,,
96007312,20243316,CS300 FWD TRIFORM,C01663001-002-DJIG32,LCS002,3,1,,
96007314,20243318,LOC & DRILL AFT CORNER FTG RH CS300,C01663001-002-DJIG42,LCS002 CAGE,3,1,,
96007316,20243320,AFT PYLON DRILL JIG,C01703011-DJIG02,LCS030/040 CAGE,3,1,,
96007316,20278498,AFT PYLON DRILL JIG,C01703011-DJIG02,LCS030/040 CAGE,3,1,,
96007316,20288998,AFT PYLON DRILL JIG,C01703011-DJIG02,LCS030/040 CAGE,3,1,,
96007324,20245219,SHOCK STRUT OIL SERVICING UNIT (US PROCU,06-5042-0500,LCS070,3,1,,
96007356,20245406,VSTAB LH DRILL JIG,C01900100-001-DJIG01,LCS002 TOP,3,1,,
96007357,20245407,VSTAB RH DRILL JIG (Nick to Add Cleaning Prior to PM),C01900100-002-DJIG01,LCS002 TOP,3,1,,
96005253,20211719,"KIT, PERMASWAGE DLT40MAPSKT3000",DLT40MAPSKT3000,SURGE TEAM,3,1,YES,
96007456,20245455,LCS001 SHOP-AID FR79 DRILLING TOOL,GT9910439-GTOO01,LCS001,3,1,,
96007507,20284443,LCS002 TRONAIR LIFTING DEVICE (US PROCUR,C01368058-HFIX01,LCS002,3,1,,
96007507,20245484,LCS002 TRONAIR LIFTING DEVICE (US PROCUR,C01368058-HFIX01,LCS001,3,1,,
96007516,20245488,TAIL CONE LIFTING FIXTURE,C02100000-001-HFIX03,LCS002,3,1,YES,
96007517,20245489,APU INSTALLATION TOOL - FISHPOLE BRACKET,C02181500-001-HFIX01,LCS030/040 CAGE,3,1,YES,
96007727,20245637,POS TOOL AFT PYLON,C01703011-SFIX01,LCS030/040 CAGE,3,1,,
96004562,20205019,"CART, POWER SUPPLY 115 VAC",S500-210006-TFIX02,LCS003 CAGE,3,1,,
96007938,20245732,CARGO POSITIVE PRESSURIZATION ADAPTER,S500-262401-TFIX02,LCS030/040 CAGE,3,1,,
96009218,20275653,CARGO POSITIVE PRESSURIZATION ADAPTER,S500-262401-TFIX02,LCS030/040 CAGE,3,1,,
